D2012025060919503     0614987081189458´¾ÞÁÐÌÞ ¼ÞÖ³ 10MG ¢D  PTP   10MG    100T00001000002790000002790000030702706  Z003045      
D2012025060919503     0714987116530132´¸ÒÂÄ Ê²ºÞ³¼ÞÖ³ LD    PTP           100T00001000004205000004205000047202710  P0520        
D2012025060919503     0814987123407915Ì±ÓÁ¼ÞÝ OD ¼ÞÖ³ 20MG  PTP   20MG    100T00001000000927000000927000010402710  H60397       
D2012025060919504     0114987286113500»Ý¶Ï¸ÞÈ¼³Ñ ¼ÞÖ³ 330M  PTP  330MG    100T00001000000527000000527000005902803  5G64         
D2012025060919504     0214987080396017±ÛÌßØÉ-Ù ¼ÞÖ³ 100MG   PTP  100MG    100T00001000000718000000718000008002707  B24701       
D2012025060919504     0314987081186518ÃÙÐ»ÙÀÝ ¼ÞÖ³ 40MG ¢D  PTP   40MG  14TX1000001000002201000002201000024222709  489050       
D2012025060919504     0414987051183127¸ÞÙÍÞ½ Ê²ºÞ³¼ÞÖ³      PTP           100T00001000002300000002300000025802909  CXD1404      
D2012025060919504     0514987080598015Ëßµ¸ÞØÀ¿ÞÝ ¼ÞÖ³ 15MG  PTP   15MG    100T00001000001043000001043000011702705  424504       
D2012025060919504     0614987081189939Û·¿ÌßÛÌ´Ý NA Ã-Ìß 50  7CMX10CM    7Ï²X1000001000000792000000792000008892802  30325        
D2012025060919505     0114987128006502ÃÞÊß½ ¼ÞÖ³ 1MG        PTP    1MG    100T00001000000927000000927000010402703  J518         
D2012025060919505     0214987080033516ÛÌ×¾ÞÌß»Ý´ÁÙ ¼ÞÖ³ 1M  PTP    1MG    100T00001000000548000000548000006102801  525101       
D2012025060919731     0114987901128605±ÑÛ¼ÞËßÝ ¼ÞÖ³ 5MG ¢V  PTP    5MG    100T00001000000927000000927000010402806  LP8865       
D2012025060919731     0214987123154352À¹·ÔÌÞ ¼ÞÖ³ 10MG      PTP   10MG    100T00001000008401000008401000094302710  566278       
D2012025060919731     0314987376556712Ì´·¿Ì´Å¼ÞÝ´Ý»Ý´Ý ¼ÞÖIK£  PTP 60MG   100T00001000002608000002608000028702704  4K088A       
D2012025060919731     0414987896010817¶ÛÅ-Ù ¼ÞÖ³ 200        PTP  200MG    100T00001000000609000000609000006702801  2501682      
D2012025060919731     0514987116176514ÅÄØÂ¸½ ¼ÞÖ³ 1         PTP    1MG    100T00001000000875000000875000010402710  4T917A       
D2012025060919731     0614987614412909ÊÞÙ»ÙÀÝ ¼ÞÖ³ 40MG ¢»  PTP   40MG  14TX1000001000001298000001298000014562705  P0081        
D2012025060919731     0714987138800244002 ÂÑ× ¶ÂºÝÄ³¶¾Ý·Õ³           2.5GX42Î³00002000000963000001926000010602804  Y00412       
D2012025060919731     081498712312712725MG ±ØÅÐÝ F Ä³²¼ÞÖ³  PTP   25MG    100T00001000000544000000544000006102912  KG071        
D2012025060919732     0114987138801944019 ÂÑ× ¼Ö³¾²ØÕ³Ä³               3GX42Î³00001000001465000001465000016122803  X60952       
D2012025060919732     0214987699058931¾ÙÍÞÂ¸½ ¶Ìß¾Ù 50MG    PTP   50MG    100P00001000000883000000883000009902607  43A28K       
D2012025060919732     0314987084316318´ËßÅ½ÁÝ ´Ý»Ý´ÝLX ÃÝ¶¢SEC£  0.1%   5MLX1000001000011265000011265000126452802  2EJ0042      
D2012025060919732     0414987087003871ØÝÃÞÛÝ VG ¸Ø-Ñ 0.12%               5GX1000001000001234000001234000013852802  5850         
E200000410000392506071856                                                                                                       
