S20902020014 05262978173421241111050240128128          0526297817                                                               
D201202411110645666   0114987058173381±ÙÌ±¶Ù¼ÄÞ-Ù¼ÞÖ³1.0UG 1.0UG PTP      100T00001000000534000000534000005902705  2414         
D201202411110648253   0414987035209713ÚÊÞÐËßÄÞ¼ÞÖ³100MG¢µ- 100MG PTP      500T00001000004040000004040000050502706  4F97RT1      
D201202411110648253   0514987081186907Û½ÊÞ½ÀÁÝ¼ÞÖ³2.5MG¢DS 2.5MG PTP      100T00001000001015000001015000011402611  81430        
D201202411110648254   0114987616002467ÉÎÞ×ËßÂÄÞÁÕ³ÌÚÂ¸½ÍßÝ      300U     3MLX200002000002631000005262000029222603  PT6EJ17      
E200000590000572411110502                                                                                                       
S20901660013 05262978170000241109192439128128          0526297817                                                               
D2012024111103380     0114987123872997ÍÞÆ¼ÞËßÝ´Ý»Ý´Ý ¼ÞÖ³   PTP    4MG    100T00001000000909000000909000010202609  GR0299       
D2012024111103380     0214987123872997ÍÞÆ¼ÞËßÝ´Ý»Ý´Ý ¼ÞÖ³   PTP    4MG    100T00001000000909000000909000010202609  GR0299       
D2012024111103380     0314987123154352À¹·ÔÌÞ ¼ÞÖ³ 10MG      PTP   10MG    100T00001000008536000008536000096802704  560439       
D2012024111103380     0414987376069519±ÄÙÊÞ½ÀÁÝ ¼ÞÖ³ 10MG   PTP   10MG    100T00001000000999000000999000011002608  HK0101       
D2012024111103380     0514987376069410±ÄÙÊÞ½ÀÁÝ ¼ÞÖ³ 5MG ¢  PTP    5MG    100T00001000000918000000918000010102608  HK0101       
D2012024111103796     0114987058171387±ÙÌ±¶Ù¼ÄÞ-Ù ¼ÞÖ³ 0.2£ PTP 0.25Ï²¸ÛG 100T00001000000526000000526000005902705  2427         
D2012024111103796     0214987123157575¶ÝÃÞ»ÙÀÝ ¼ÞÖ³ 8MG ¢±  PTP    8MG    100T00001000002664000002664000031302705  Y694A        
D2012024111103796     0314987376097819¸ÛËßÄÞ¸ÞÚÙ ¼ÞÖ³ 75MG  PTP   75MG    100T00001000003140000003140000035502612  4K664A       
D2012024111104513     0114987123416627ÎÞ¸ÞØÎÞ-½ OD¼ÞÖ³ 0.3£ PTP  0.3MG    100T00001000000851000000851000010102705  KF021        
D2012024111104513     0214987376069519±ÄÙÊÞ½ÀÁÝ ¼ÞÖ³ 10MG   PTP   10MG    100T00001000000999000000999000011002608  HK0101       
E200000120000102411091924                                                                                                       
