S20902690019 05262978170000250303120002128128          0526297817                                                               
D201202503032892996   0114987376097819¸ÛËßÄÞ¸ÞÚÙ¼ÞÖ³75MG¢SANIK£PTP 100T       00001000003188000003188000035502609  4K642A       
D201202503030890804   0114987087030976¸×ØÁÝÚÃÞ²ÀÌÞ¼ÞÖ³10MG   10MG BL       50T00001000001575000001575000018752608  JP40381      
D201202503030890804   0214987086533546¹ÄÌßÛÌ´ÝÃ-Ìß40MG¢»ÝÜ   10X14CM    7Ï²X1000002000001045000002090000011972612  5A12SL       
D201202503030890804   0314987497305619¼±ÉºÊÞ×ÐÝÃÝ¶ÞÝ´·0.02     0.02%     5MLX500001000000389000000389000004322710  240211       
D201202503030890804   0414987233105343½-¼ÞÔÇÊ²ºÞ³¼ÞÖ³            PTP      100T00001000016382000016382000191702704  24062M1      
D201202503030890804   0514987919100020¿×ÝÀ-Ù¼ÞÖ³100MG      100MG PTP      100T00001000000898000000898000010102905  2406W31      
D201202503030890805   0114987476125412¿ÙÍÞ-½                              500G00001000001249000001249000013952910  Y24K02       
D201202503030890805   0214987057649306ÀÞ-ÌÞÛÂ¸¼ÞÖ³2MG        2MG PTP      100T00001000014355000014355000165102805  VW2U         
D201202503030890805   0314987138802446ÂÑ×024¶Ð¼Ö³Ö³»Ý           (24) 2.5GX3X1400003000001517000004551000016702712  X43971       
D201202503030890805   0414987081103560ÃÞÉÀ½ÁÕ±ÌÞÙÊ²ºÞ³¼ÞÖ³        SP       60T00004000000640000002560000007202709  G9330        
D201202503030890805   0514987770529800ÊßÙÓÃÞ²±XR¼ÞÖ³0.2MG  0.2MG PTP      100T00001000005345000005345000060002710  GO4R         
D201202503030890806   0114987306066212ËÞµÌ´ÙÐÝ¼ÞÖ³»Þ²            PTP      630T00001000003088000003088000035912712  384K1        
D201202503030890806   0214987060007742ÌÙÃ²Ìµ-Ñ125´±¿Þ-Ù120 120·Õ³ÆÕ³        1º00002000004103000008206000046082602  24033FA      
D201202503030890806   0314987901130202ÌßÚ¶ÞÊÞØÝOD¼ÞÖ³25MG¢  25MG PTP      100T00001000001135000001135000012902702  LG0101       
D201202503030890806   0414987616003631ÍßÝÆ-ÄÞÙ Ìß×½ 32G      32G 4MM    14ÎÝX500002000001081000002162000000002909  PS7K05B-1    
D201202503030890806   0514987080303510Ò·À¼ÞÝ¼ÞÖ³3MG¢»Ü²£     3MG PTP      100T00001000000510000000510000005702710  524703       
D201202503030890807   0114987080670018×ÍÞÌß×¿Þ-ÙNA¼ÞÖ³10MG  10MG PTP      100T00001000002338000002338000026902702  724207       
D201202503030890807   0214987087029000ØÝÃÞÛÝ-VGÛ-¼ÖÝ           0.12%   10MLX1000001000002460000002460000027702710  6723         
D201202503030890807   0314987081100316Û·¿ÆÝÃ-Ìß100MG         10X14CM    7Ï²X1000001000001085000001085000012882710  X0124        
D201202503030890808   0114987616002467ÉÎÞ×ËßÂÄÞÁÕ³ÌÚÂ¸½ÍßÝ      300U     3MLX200002000002631000005262000029222605  PT6FA30      
E200000440000422503031403                                                                                                       
