S20902690019 05262978170000250424100001128128          0526297817                                                               
D201202504246583622   0114987058565032ÌÙÆÄ×¾ÞÊßÑ¼ÞÖ³1MG±ÒÙPTP1MG   100T       00001000000536000000536000005902710  2435         
E200000030000012504241000                                                                                                       
S20902690019 05262978170000250424110001128128          0526297817                                                               
D201202504246584763   0114987123872997ÍÞÆ¼ÞËßÝ´Ý»Ý´Ý4MG¢N IG£PTP4MG100T       00001000000936000000936000010402610  GR0965       
E200000030000012504241100                                                                                                       
S20902690019 05262978170000250424120003128128          0526297817                                                               
D201202504246590717   0114987376349901¿ØÌ´Å¼ÝºÊ¸»Ý´ÝOD¼ÞÖ³5MG¢ÆÁ²º³£100       00001000002996000002996000033002608  25001R1      
E200000030000012504241200                                                                                                       
S20902690019 05262978170000250424124501128128          0526297817                                                               
D201202504256591723   0114987123154352À¹·ÔÌÞ¼ÞÖ³10MG PTP    10MG 10TX10       00001000008562000008562000094302709  564576       
D201202504256591723   0214987376305617ËßÙÌ´ÆÄÞÝ ¼ÞÖ³200MG¢ÆÁ²º³£PTP100T       00003000012511000037533000138202709  J00900       
E200000040000022504241300                                                                                                       
S20902020014 05262978170754250424140247128128          0526297817                                                               
D201202504240183452   0114987155152074´ÙÃÞ¶Ù¼Ä-Ù¶Ìß¾Ù0.75U0.75UG PTP    100CAP00001000001755000001755000019302709  D0731        
D201202504240183657   0114987413870511Ä×¾ÞÝÀ¼ÞÖ³5MG          5MG PTP      100T00001000010809000010809000118902712  589008       
D201202504240183657   0214987047211346ÌßÙ¾ÞÆÄÞ¼ÞÖ³12MG      12MG PTP      100T00001000000601000000601000005902705  248B10S      
D201202504240183730   0114987081189656¶Þ×ÝÀÐÝOD¼ÞÖ³4MG¢DSE   4MG PTP       56T00001000000937000000937000010302701  BB1B034      
D201202504240183730   0214987155165265¾Ì¶ÍßÝËßÎÞ·¼Ù´Ý»Ý´Ý¼ 100MG PTP      500T00001000018682000018682000205502710  A00460       
D201202504240183730   0314987155165128¾Ì¶ÍßÝËßÎÞ·¼Ù´Ý»Ý´Ý¼ 100MG PTP      100T00001000003736000003736000041102709  A00390       
D201202504240183730   0414987081186655ÃÙÁ±Ê²ºÞ³¼ÞÖ³AP¢DSEP       PTP      100T00001000002009000002009000022102605  489006       
D201202504240183730   0514987081186518ÃÙÐ»ÙÀÝ¼ÞÖ³40MG¢DSEP  40MG PTP      140T00001000002202000002202000024222706  489047       
D201202504240183809   0114987116530132´¸ÒÂÄÊ²ºÞ³¼ÞÖ³LD           PTP      100T00001000004291000004291000047202710  P0513        
D201202504240183809   0214987080035510´Å×ÌßØÙÏÚ²Ý»Ý´Ý¼ÞÖ³5   5MG PTP      100T00001000000945000000945000010402711  524X01       
D201202504240183809   0314987080034711¾ÝÉ¼ÄÞ¼ÞÖ³12MG¢»Ü²£   12MG PTP      100T00001000000482000000482000005302810  724X01       
D201202504240183809   0414987081186907Û½ÊÞ½ÀÁÝ¼ÞÖ³2.5MG¢DS 2.5MG PTP      100T00001000000945000000945000010402704  87940        
D201202504240183810   0114987413721516µÌ´ÌÞ¶Ìß¾Ù100MG      100MG PTP     28CAP00003000099352000298056001115072701  589001       
E200000250000232504241402                                                                                                       
S20902020014 05262978172926250425050244128128          0526297817                                                               
D201202504250184654   0114987614415528±ÑÊÞÛÊ²ºÞ³¼ÞÖ³¢»ÝÄÞ£       PTP      700T00001000010822000010822000106402708  P0323        
D201202504250184656   0114987614415528±ÑÊÞÛÊ²ºÞ³¼ÞÖ³¢»ÝÄÞ£       PTP      700T00001000010822000010822000106402708  P0323        
D201202504250185059   0114987051183127¸ÞÙÍÞ½Ê²ºÞ³¼ÞÖ³            PTP      100T00001000002345000002345000025802907  CVX0804      
D201202504250185059   0214987185809900¼ÞÔÇËÞ±¼ÞÖ³50MG       (¶Â¾Ý²Ø) PTP  100T00001000007464000007464000082102608  Z002464      
D201202504250185059   0314987081186907Û½ÊÞ½ÀÁÝ¼ÞÖ³2.5MG¢DS 2.5MG PTP      100T00001000000945000000945000010402704  88040        
D201202504250185060   0114987616003655µ¾ÞÝËßÂ¸Ë¶ÁÕ³2MG           2MG 1.5MLX1ÎÝ00001000010137000010137000111512703  PP5M682      
E200000080000062504250502                                                                                                       
S20901660013 05262978170000250424220403128128          0526297817                                                               
D2012025042546361     0114987123155236ºÃÞ²ÝØÝ»Ý´Ý ¼ÞÖ³ 20M  PTP   20MG     50T00001000003613000003613000039752707  562257       
E200000030000012504242204                                                                                                       
