D2012024092415563194542014987080034711¾ÝÉ¼ÄÞ12MG¢»Ü²£ H 100T                  0000100000046300000046300000510280331724305       
D2012024092415563194543014987081186501ÃÙÐ»ÙÀÝ40MG¢DSEP£ H 500T                0000100000864600000864600009600261130489017       
D2012024092415563194544014987770529800ÊßÙÓÃÞ²±XR0.2MG H 100T                  0000100000534500000534500006000270630ES4E         
D2012024092415563194545014987376711005ÍÞÀË½ÁÝÒ¼Ù»Ý´Ý6MG H 100T                0000100000054900000054900000610270131K01600       
D2012024092415563194551014987081186907Û½ÊÞ½ÀÁÝ2.5MG¢DSEP£ H100T               000010000010150000010150000114026103179930        
D2012024092415563310631014987428879806ËÕ-ÏÛ¸ÞÐÂ¸½50ÐØµÍßÝ 3MLX2               0000200000217000000434000002436270131D715086EF    
D2012024092415563310641014987413580717ÚÝÄÞÙÐÝ0.25MG H 100T                    0000100000104500000104500001250260331489006       
D2012024092415563330411014987123158367²Æ¼Ý¸Ê²ºÞ³ H 100T                       0000100001151800001151800013550261130557472       
D2012024092415563330412014987233105343½-¼ÞÔÇÊ²ºÞ³ H 100T                      000010000170780000170780001917027013124026M1      
D2012024092415563330413014987901008303ÉÙÊÞ½¸ 5MG H 100T                       0000100000136700000136700001520271231LC3319       
D2012024092415563330414014987614439401ÊÞ×¼¸ÛËÞÙ500MG¢SPKK£H42T                0000100000286900000286900003221261231GM9K         
D2012024092415563330415014987616003631ÍßÝÆ-ÄÞÙ Ìß×½ 32G4MM 70ÎÝ               0000200000131100000262200000000290430PS7E17B-1    
D2012024092415563330421014987081186907Û½ÊÞ½ÀÁÝ2.5MG¢DSEP£ H100T               000010000010150000010150000114026103179930        
D2012024092415563416531014987058060032±ÑÛ¼ÞËßÝ2.5MG¢±ÒÙ£ H 100T               00001000000918000000918000010102612312306         
D2012024092415563416532014987116530170´¸ÒÂÄÊ²ºÞ³HD H 100T                     0000100000452200000452200005020270131P2317        
D2012024092415563416533014987233102878½-¸Þ×50MG H 100T                        000010000151800000151800001704027013124024Y1      
D2012024092415563416534014987413836029½ËßµÙÄÚ½ËßÏÂÄ60·Õ³ÆÕ³                   0000200000509500001019000005719260930305153A      
D2012024092415563416535014987080034711¾ÝÉ¼ÄÞ12MG¢»Ü²£ H 100T                  0000100000046300000046300000510280331724305       
D2012024092415563416541014987080001911ËßÀÊÞ½ÀÁÝCA1MG¢»Ü²£ H100T               0000100000091800000091800001010270131424102       
D2012024092415563416542014987616003631ÍßÝÆ-ÄÞÙ Ìß×½ 32G4MM 70ÎÝ               0000100000131100000131100000000290430PS7E17B-1    
D2012024092415563416543014987901119009Î¸ÅØÝÃ-Ìß2MG 70Ï²                       000010000027140000027140000301726022863714YQ1     
E200000710000692409240600                                                                                                       
