S20902020014 05262978170133250827100253128128          0526297817                                                               
D202202508270455567   0114987035654506²É×½Ê²ºÞ³¹²ÁÖ³Ö³´·      Ö-¸ÞÙÄ187.5MLX2800002000006588000013176000074032604  B2505143     
D202202508270455567   0214987035654803²É×½Ê²ºÞ³¹²ÁÖ³Ö³´·        ²ÁºÞ187.5MLX2800002000006588000013176000074032604  H2505161     
D202202508270455584   0314987925113625Ú½ÌßÚÝ¼ÞÖ³30MG        30MG PTP      500T00003000004640000013920000045503001  25A160G      
D202202508270455584   0414987925113625Ú½ÌßÚÝ¼ÞÖ³30MG        30MG PTP      500T00002000004640000009280000045503001  25A170G      
D202202508270455586   0114987925113625Ú½ÌßÚÝ¼ÞÖ³30MG        30MG PTP      500T00003000004640000013920000045503001  25A170G      
D202202508270455587   0114987084319548±Ú¼ÞµÝ¶ÞÝ¹Ý¸Ø-Ñ0.5%       0.5%2GÁÕ-ÌÞ²ØX00003000029990000089970000337342610  AEC0016      
D202202508270455588   0114987081333509Ì´ÉÊÞ-Ù»Ý10%           10% ÊÞ×      100G00001000000691000000691000007702910  Q01N         
D202202508270455589   0114987158102038³ÌÞÚÁÄÞ¼ÞÖ³5MG         5MG PTP      100T00001000001223000001223000012902909  BAK011       
D202202508270455589   0214987158102038³ÌÞÚÁÄÞ¼ÞÖ³5MG         5MG PTP      100T00001000001115000001115000012902911  BAM011       
D202202508270455590   0114987042136026¸ÚÅÌ²ÝÂÒ¶Þ²Ö³´·10%   10% (4ML)   3.56GX500001000022152000022152000248632804  E51620       
D202202508270455590   0214987058210284½ÙËßØÄÞ¼ÞÖ³50MG¢±ÒÙ£  50MG PTP      100T00001000000587000000587000006602708  2437         
D202202508270455590   0314987058210284½ÙËßØÄÞ¼ÞÖ³50MG¢±ÒÙ£  50MG PTP      100T00001000000587000000587000006602711  2450         
D202202508270455591   0114987060004802ÑºÀÞ²Ý¼ÞÖ³500MG      500MG PTP      100T00004000000936000003744000010402712  F212         
D202202508270455592   0114987080106012¼ÙÆ¼ÞËßÝ¼ÞÖ³10MG¢»Ü²  10MG PTP      100T00001000001229000001229000013802711  124Y12       
D202202508270455595   0114987080038313ÆÙÊÞ¼ÞËßÝ¼ÞÖ³4MG¢»Ü²   4MG PTP      100T00001000000945000000945000010402802  524Z01       
D202202508270455595   0214987080119913¼Þ¸ÛÌ´Å¸NA¼ÞÖ³25MG¢»  25MG PTP      100T00001000000527000000527000005902803  725204       
D202202508270455595   0314987080303718¼Þ×¾ÞÌß´Ý»Ý´Ý¼ÞÖ³50M  50MG PTP      100T00002000000527000001054000005902801  725103       
D202202508270455596   0114987080303718¼Þ×¾ÞÌß´Ý»Ý´Ý¼ÞÖ³50M  50MG PTP      100T00001000000527000000527000005902801  725103       
D202202508270455596   0214987080737414²º»ÍßÝÄ»Ý´ÁÙØÕ³¼ÞÖ³¶     900MG      84Î³00001000003144000003144000034612707  X24777       
D202202508270455596   0314987080737414²º»ÍßÝÄ»Ý´ÁÙØÕ³¼ÞÖ³¶     900MG      84Î³00001000003144000003144000034612708  X24842       
D202202508270455596   0414987081103560ÃÞÉÀ½ÁÕ±ÌÞÙÊ²ºÞ³¼ÞÖ³        SP       60T00001000000605000000605000006782711  GY120        
D202202508270455596   0514987081103560ÃÞÉÀ½ÁÕ±ÌÞÙÊ²ºÞ³¼ÞÖ³        SP       60T00001000000605000000605000006782712  GZ370        
D202202508270455598   0114987081103560ÃÞÉÀ½ÁÕ±ÌÞÙÊ²ºÞ³¼ÞÖ³        SP       60T00001000000605000000605000006782802  H2620        
D202202508270455598   0214987081187249µÙÒ»ÙÀÝOD¼ÞÖ³40MG¢DS  40MG PTP      100T00001000002188000002188000025302802  ONA1036      
D202202508270455598   0314987081187836¼ÛÄÞ¼ÝOD¼ÞÖ³4MG¢DSEP   4MG PTP      100T00001000001175000001175000013202710  CXJ0303      
D202202508270455598   0414987081187836¼ÛÄÞ¼ÝOD¼ÞÖ³4MG¢DSEP   4MG PTP      100T00001000001175000001175000013202710  CXJ0403      
D202202508270455599   0114987081186754Ã×ÑÛÊ²ºÞ³¼ÞÖ³AP¢DSEP       PTP      100T00001000001924000001924000021402703  589004       
D202202508270455600   0114987081189700¶Þ×ÝÀÐÝOD¼ÞÖ³8MG¢DSE   8MG PTP       56T00001000001187000001187000013502706  BB2B069      
D202202508270455600   0214987087043303»²ÝÊÞÙÀ¶Ìß¾Ù20MG      20MG PTP    100CAP00001000006334000006334000072802709  3002         
D202202508270455600   0314987158701569ËÞµ½Ø-Ê²ºÞ³¼ÞÖ³            PTP      630T00001000003701000003701000041582803  1045         
D202202508270455600   0414987213030405´·»ÞÙÍÞ                            5GX1000001000001326000001326000014902705  FA1R2        
D202202508270455601   0114987086220569×¸ÞÉ½NF¹²º³¾ÞØ-ÌÞÝÎß            12GX84Î³00001000003755000003755000041502803  P251301      
D202202508270455602   0114987413836029½ËßµÙÄÚ½ËßÏÂÄ60·Õ³ÆÕ                1·ÂÄ00001000004625000004625000053542706  403624       
D202202508270455602   0214987413836029½ËßµÙÄÚ½ËßÏÂÄ60·Õ³ÆÕ                1·ÂÄ00001000004625000004625000053542706  403624       
D202202508270455602   0314987443277229ÃÞ²µÊÞÝ¼ÞÖ³80MG       80MG PTP      140T00001000003269000003269000033602703  P4279        
D202202508270455602   0414987614415504±ÑÊÞÛÊ²ºÞ³¼ÞÖ³¢»ÝÄÞ£       PTP      140T00002000002164000004328000021282708  P0318        
D202202508270455603   0114987614415504±ÑÊÞÛÊ²ºÞ³¼ÞÖ³¢»ÝÄÞ£       PTP      140T00001000002164000002164000021282708  P0318        
D202202508270455603   0214987614439302µÛÊßÀ¼ÞÝÃÝ¶ÞÝ´·0.1%¢      0.1%  5MLX10ÎÝ00001000001896000001896000017452704  VHC27A       
D202202508270455603   0314987672835542²ÄØ¿Þ-Ù¶Ìß¾Ù50        50MG PTP    100CAP00001000009584000009584000111702703  A0072        
D202202508270455603   0414987672835542²ÄØ¿Þ-Ù¶Ìß¾Ù50        50MG PTP    100CAP00001000009584000009584000111702703  A0072        
D202202508270455603   0514987699058931¾ÙÍÞÂ¸½¶Ìß¾Ù50MG      50MG PTP    100CAP00001000000851000000851000009902607  44A58K       
D202202508270455604   0114987770530202ÊßÙÓÃÞ²±XR¼ÞÖ³0.4MG  0.4MG PTP      100T00001000009879000009879000111002709  DL4R         
D202202508270455604   0214987901081504Ì²Å½ÃØÄÞ¼ÞÖ³1MG¢VTRS   1MG PTP       28T00001000004600000004600000000002705  LL8000       
D202202508270455604   0314987901081504Ì²Å½ÃØÄÞ¼ÞÖ³1MG¢VTRS   1MG PTP       28T00002000004600000009200000000002705  LL8000       
D202202508270455605   0114987919100839¾Ì¿ÞÝ»²ØÕ³¼Ö³ÆÖ³10%    10% ÊÞ×      200G00001000011682000011682000121602608  2309C01      
D202202508270455606   0114987233131762Ï²½Ø-¼ÞÖ³5MG           5MG PTP      100T00001000001479000001479000017502706  24014F1      
D202202508270455607   0114987020020248¹ÄºÅ¿Þ-Ù¸Ø-Ñ2%¢²Ü·£         2%    10GX1000001000001423000001423000013302711  4E047        
D202202508270455607   0214987080001911ËßÀÊÞ½ÀÁÝCA¼ÞÖ³1MG¢»   1MG PTP      100T00001000000925000000925000010402709  424901       
D202202508270455607   0314987080002215ËßÀÊÞ½ÀÁÝCA¼ÞÖ³4MG¢»   4MG PTP      100T00001000002169000002169000026102710  424Y01       
D202202508270455607   0414987080038016¹ÄÁÌ´ÝÃÝËÞ´·0.05%¢»Ü   6.048MG  8MLX10ÎÝ00001000002098000002098000023102710  X24X01       
D202202508270455609   0114987058146828ÍÞØÁ-ÑÊ²ºÞ³¶ØÕ³                 1GX105Î³00001000002804000002804000027512712  2469         
D202202508270455610   0114987080303916ØÏÌßÛ½Ä±ÙÌ±ÃÞ¸½¼ÞÖ³5   5UG PTP      100T00003000000882000002646000009902710  224X03       
D202202508270455610   0214987080394013ÍÞ»ÞÌ²ÌÞ×-ÄSR¼ÞÖ³200 200MG PTP      100T00001000000925000000925000010402711  724Y02       
D202202508270455610   0314987080537113Ì±ÓÁ¼ÞÝD¼ÞÖ³10MG¢»Ü²  10MG PTP      100T00001000000894000000894000010402707  724906       
D202202508270455610   0414987081185740Ì´ÌÞ·¿½ÀÂÄ¼ÞÖ³20MG¢D  20MG PTP      100T00001000000924000000924000010402709  20214        
D202202508270455610   0514987081185740Ì´ÌÞ·¿½ÀÂÄ¼ÞÖ³20MG¢D  20MG PTP      100T00001000000924000000924000010402709  20217        
D202202508270455614   0114987081187003Û½ÊÞ½ÀÁÝ¼ÞÖ³5MG¢DSEP   5MG PTP      100T00001000001638000001638000018402707  57040        
D202202508270455614   0214987081187003Û½ÊÞ½ÀÁÝ¼ÞÖ³5MG¢DSEP   5MG PTP      100T00001000001638000001638000018402707  58140        
D202202508270455614   0314987084120366»ÝºÊÞÃÝ¶ÞÝ´·0.02%        0.02%  5MLX10ÎÝ00001000000815000000815000009162709  SK5011       
D202202508270455614   0414987084316318´ËßÅ½ÁÝ´Ý»Ý´ÝLXÃÝ¶ÞÝ      0.1%  5MLX10ÎÝ00001000010862000010862000126452802  2EJ0042      
D202202508270455614   0514987158151005Ûº²ÄÞÅÝº³0.1%             0.1%     5GX1000002000000663000001326000007452812  LBL02V       
D202202508270455615   0114987174414016¼Þ¸ÛÌ´Å¸NA¹ÞÙ1%¢ÆÎÝ¿        1%    50GX1000001000001335000001335000015002801  25022        
D202202508270455615   0214987294394120Ì´ÌÞØ¸¼ÞÖ³10MG        10MG PTP      100T00001000001241000001241000014202707  40376        
D202202508270455615   0314987435475152ÃÞ·»ÒÀ¿ÞÝÌßÛËßµÝ»Ý´½      0.1%    10GX1000001000000751000000751000007302711  9917ZD       
D202202508270455615   0414987699059402ÓËÞº-ÙÊ²ºÞ³Å²Ö³»Þ²LD               100Î³00001000005781000005781000061402701  421763       
D202202508270455615   0514987699059402ÓËÞº-ÙÊ²ºÞ³Å²Ö³»Þ²LD               100Î³00001000005397000005397000061402708  434976       
D202202508270455616   0114987792101084ÌÞÃÞÎÙ·Õ³ÆÕ³ÌÝÏÂ»Þ²6                 1ÎÝ00001000001099000001099000012232705  506050       
D202202508270455617   0114987792101824ÃÞ·»ÒÀ¿ÞÝÌßÛËßµÝ»Ý´½      0.1%      500G00001000003299000003299000036502803  PJ505        
D202202508270455617   0214987901130509ÌßÚ¶ÞÊÞØÝOD¼ÞÖ³75MG¢  75MG PTP      100T00001000001629000001629000018302709  MC0803       
D202202508270455618   0114987086533546¹ÄÌßÛÌ´ÝÃ-Ìß40MG¢»ÝÜ   10X14CM    7Ï²X1000003000001109000003327000012322705  5K12SL       
D202202508270455619   0114987188412077Ó-×½Ã-Ìß20MG            7X10CM    7Ï²X1000001000001170000001170000013162704  C509T        
D202202508270455619   0214987188412176Ó-×½Ã-ÌßL40MG          10X14CM    7Ï²X1000017000001719000029223000019322705  C614U        
D202202508270455621   0114987047110885ÆÖ³¿¸Ø-Ñ20%¢SUN£           20%  25GX10ÎÝ00001000000867000000867000008252710  2410066      
D202202508270455622   0114987080268444µ¾ÙÀÐËÞÙDS3%¢»Ü²£       3% ÊÞ×       30G00001000002247000002247000023852709  123801       
D202202508270455622   0214987081107803ËÞÑÊßÂÄÄÞ×²¼ÛÂÌß10%        10%      100G00001000034213000034213000391002709  412994       
D202202508270455622   0314987081107803ËÞÑÊßÂÄÄÞ×²¼ÛÂÌß10%        10%      100G00003000034213000102639000391002711  419042       
D202202508270455622   0414987081189700¶Þ×ÝÀÐÝOD¼ÞÖ³8MG¢DSE   8MG PTP       56T00001000001187000001187000013502706  BB2B069      
D202202508270455626   0114987086390644ÎßØ½ÁÚÝ½ÙÎÝ»ÝCA¹²º³¾       20%   25GX60º00002000004155000008310000046682711  KX12CK       
D202202508270455626   0214987138800640ÂÑ×006¼ÞÕ³ÐÊ²ÄÞ¸Ä³         (6) 2.5GX3X1400001000001345000001345000014812804  Y00682       
D202202508270455626   0314987138800848ÂÑ×008ÀÞ²»²ºÄ³             (8) 2.5GX3X1400002000002090000004180000023002803  X61662       
D202202508270455626   0414987138800848ÂÑ×008ÀÞ²»²ºÄ³             (8) 2.5GX3X1400001000002090000002090000023002803  X61662       
D202202508270455626   0514987138801241ÂÑ×012»²º¶ØÕ³ºÂÎÞÚ²Ä      (12) 2.5GX3X1400001000001937000001937000021322803  X60272       
D202202508270455627   0114987138801746ÂÑ×017ºÞÚ²»Ý              (17) 2.5GX3X1400001000001298000001298000014282801  X48701       
D202202508270455627   0214987138801746ÂÑ×017ºÞÚ²»Ý              (17) 2.5GX3X1400002000001298000002596000014282804  Y00081       
D202202508270455627   0314987138801944ÂÑ×019¼Ö³¾²ØÕ³Ä³          (19) 3.0GX3X1400001000001465000001465000016132803  X60952       
D202202508270455627   0414987138802248ÂÑ×022¼Ö³Ì³»Ý             (22) 2.5GX3X1400002000001155000002310000012712802  X61201       
D202202508270455637   0114987138802941ÂÑ×029ÊÞ¸ÓÝÄÞ³Ä³          (29) 3.0GX3X1400001000001890000001890000020792711  X29091       
D202202508270455637   0214987138804846ÂÑ×048¼ÞÕ³¾ÞÝÀ²ÎÄ³        (48) 2.5GX3X1400001000001756000001756000019322805  Y15982       
D202202508270455637   0314987138804846ÂÑ×048¼ÞÕ³¾ÞÝÀ²ÎÄ³        (48) 2.5GX3X1400002000001756000003512000019322805  Y17812       
D202202508270455637   0414987138805140ÂÑ×051¼ÞÕÝÁÖ³Ä³           (51) 2.5GX3X1400001000001450000001450000015962803  X59422       
D202202508270455637   0514987138808448ÂÑ×084ÀÞ²µ³¶Ý¿Þ³Ä³        (84) 2.5GX3X1400001000000763000000763000008402803  X59622       
D202202508270455638   0114987138810748ÂÑ×107ºÞ¼Ô¼ÞÝ·¶ÞÝ        (107) 2.5GX3X1400001000001689000001689000018592712  X43611       
D202202508270455638   0214987138810748ÂÑ×107ºÞ¼Ô¼ÞÝ·¶ÞÝ        (107) 2.5GX3X1400001000001689000001689000018592804  Y02141       
D202202508270455638   0314987341113858¹ÚÝÃÞ²±¼ÞÖ³10MG       10MG PTP      100T00001000012810000012810000143902707  JPS8334      
D202202508270455639   0114987770507709¹×ÁÅÐÝº-Ü¸Ø-Ñ20%           20%    25GX1000001000000917000000917000010002707  CD4I         
D202202508270455640   0114987138802040ÂÑ×020ÎÞ³²µ³·ÞÄ³          (20) 2.5GX3X1400001000000916000000916000010082801  X53362       
D202202508270455640   0214987138802040ÂÑ×020ÎÞ³²µ³·ÞÄ³          (20) 2.5GX3X1400002000000916000001832000010082804  Y01432       
D202202508270455640   0314987138802347ÂÑ×023Ä³·¼Ô¸Ô¸»Ý          (23) 2.5GX3X1400001000001421000001421000015652803  X60432       
D202202508270455640   0414987138804143ÂÑ×041ÎÁÕ³´Â·Ä³           (41) 2.5GX3X1400002000002147000004294000023632802  X55322       
D202202508270455640   0514987138804143ÂÑ×041ÎÁÕ³´Â·Ä³           (41) 2.5GX3X1400003000002147000006441000023632803  X60972       
D202202508270455641   0114987138804341ÂÑ×043ØÂ¸Ý¼Ä³             (43) 2.5GX3X1400001000001718000001718000018902806  Y22951       
D202202508270455641   0214987138806246ÂÑ×062ÎÞ³Ì³Â³¼Ö³»Ý        (62) 2.5GX3X1400001000001317000001317000014492804  Y00991       
D202202508270455641   0314987138810045ÂÑ×100ÀÞ²¹ÝÁÕ³Ä³         (100) 2.5GX3X2800002000002615000005230000028772803  X60962       
D202202508270455641   0414987138810045ÂÑ×100ÀÞ²¹ÝÁÕ³Ä³         (100) 2.5GX3X2800005000002615000013075000028772803  X61222       
D202202508270455641   0514987138810045ÂÑ×100ÀÞ²¹ÝÁÕ³Ä³         (100) 2.5GX3X2800001000002615000002615000028772804  Y11242       
D202202508270455642   0114987138810045ÂÑ×100ÀÞ²¹ÝÁÕ³Ä³         (100) 2.5GX3X2800001000002615000002615000028772804  Y11922       
D202202508270455642   0214987213050731ËÙÄÞ²ÄÞ¸Ø-Ñ0.3%          ËÞÝ²Ø      100G00002000001641000003282000018202709  FA0PE        
D202202508270455642   0314987213050731ËÙÄÞ²ÄÞ¸Ø-Ñ0.3%          ËÞÝ²Ø      100G00002000001620000003240000018202806  HA05P        
D202202508270455642   0414987213052865ËÙÄÞ²ÄÞ¿ÌÄÅÝº³0.3%  0.3% ËÞÝ²Ø      100G00001000001679000001679000018202709  FE09L        
D202202508270455642   0514987286218991ÍÊßØÝÙ²¼ÞÌÞÂ¼ÂÕ¾²¸Ø-      0.3%    25GX1000002000001260000002520000014002710  4B008        
D202202508270455643   0114987288861010Ê¸¼Ö¸Ü¾ØÝ¢Ö¼ÀÞ£                      50G00003000000310000000930000001222709  024102       
D202202508270455644   0114987376559904ÍÊßØÝÙ²¼ÞÌÞÂ¼ÂÛ-¼ÖÝ0      0.3%    50GX1000001000001869000001869000018502710  J46700       
D202202508270455645   0114987376616218ÍÊßØÝÙ²¼ÞÌÞÂ¼ÂÕ¾²¸Ø-      0.3%    25GX1000001000000980000000980000009252804  DR52         
D202202508270455645   0214987376616218ÍÊßØÝÙ²¼ÞÌÞÂ¼ÂÕ¾²¸Ø-      0.3%    25GX1000002000000980000001960000009252805  ER65         
E200001360001342508271002                                                                                                       
